00146FC8,func_00146FC8
00147018,ClearFields_B0_AC_147018
00147028,cCockTutorial_roomInit
00147188,ClearActiveSlot_147188
001471A8,SetLinkedObjFlags_1471A8
001471F0,func_001471F0
00147460,ForwardIfStateActive_147460
001474A0,InitPtrField80AndForward_1474A0
001474D0,func_001474D0
00147528,Tramp_func_0030A548_00147528
00147548,Tramp_func_0030A2E0_00147548
00147568,MtxInverse
001476D0,BuildTranslationMatrix_1476D0
00147728,MtxInitRotVec
001478A8,MtxInitRotQuaternion
00147988,MtxInitRotY
001479C8,MtxInitRotZ
00147A08,MtxInitScaleVec
00147A48,MtxInitCoord
00147AB8,func_00147AB8
00147B18,BuildAndApplyTranslationMatrix_147B18
00147B60,MtxMulRotVec
00147BB0,BuildMatrixAndForward_147BB0
00147BF8,BuildAltMatrixAndForward_147BF8
00147C40,CopyVec3ToField30_147C40
00147C60,ForwardVec3At30_147C60
00147C88,func_00147C88
00148160,MtxGetScaleVec
001482C0,func_001482C0
001483C8,func_001483C8
00148420,func_00148420
001485A0,func_001485A0
00148690,func_00148690
00148BD8,func_00148BD8
00148D30,func_00148D30
00148F00,Forward155AE8_148F00
00148F50,func_00148F50
001490B0,func_001490B0
00149220,func_00149220
001492C8,Forward149378_1492C8
001492E8,Forward149400_1492E8
00149310,GetActiveState_149310
00149350,Forward1494F8_149350
00149378,func_00149378
00149400,func_00149400
00149488,func_00149488
001494F8,func_001494F8
00149550,ForwardGlobalIfFlagSet_149550
00149580,Forward149550_149580
001495A0,func_001495A0
001496C0,func_001496C0
00149738,cModel_setupModel
00149AD8,cModel_setTextureExchange
00149C20,func_00149C20
00149E60,func_00149E60
00149EB8,cModel_calcParts
0014A038,cModel_calcWorldParts
0014A170,func_0014A170
0014A2B0,CopyVec3From110To120_14A2B0
0014A338,cModel_setMeshDisplay
0014A398,SetListNodeBitByKey_14A398
0014A3E8,cModel_Trans
0014A910,cModel_Trans_screen
0014AAB8,cModel_Tag_set_scr
0014AC90,cModel_Tag_set_rate
0014B470,IsTargetVisible_14B470
0014B4D0,func_0014B4D0
0014B5D8,ForwardAttackByMode_14B5D8
0014B638,GetField_2B1_14B638
0014B640,func_0014B640
0014B6F8,cModel_getMeshPtr
0014B730,cModel_getMeshPtr_14B730
0014B798,cModel_removeMesh
0014B918,func_0014B918
0014B9A0,func_0014B9A0
